IBRA - Carteira do Dia 24/06/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RENT3;LOCALIZA;ON      NM;593.841.434;1,289;
LCAM3;LOCAMERICA;ON      NM;323.763.077;0,304;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,403;
LOGG3;LOG COM PROP;ON      NM;59.190.591;0,064;
LOGN3;LOG-IN;ON      NM;100.109.944;0,062;
LAME3;LOJAS AMERIC;ON      N1;249.502.964;0,177;
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,615;
AMAR3;LOJAS MARISA;ON      NM;111.476.495;0,035;
LREN3;LOJAS RENNER;ON      NM;887.417.914;1,352;
LPSB3;LOPES BRASIL;ON      NM;114.874.308;0,019;
MDIA3;M.DIASBRANCO;ON  EJ  NM;83.669.782;0,088;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;1,862;
POMO4;MARCOPOLO;PN      N2;573.419.889;0,068;
MRFG3;MARFRIG;ON      NM;368.864.634;0,232;
CASH3;MELIUZ;ON      NM;74.543.311;0,116;
LEVE3;METAL LEVE;ON      NM;38.492.519;0,043;
MILS3;MILLS;ON      NM;115.486.678;0,033;
BEEF3;MINERVA;ON      NM;240.482.896;0,078;
MTRE3;MITRE REALTY;ON      NM;54.039.454;0,022;
MOVI3;MOVIDA;ON      NM;132.113.940;0,088;
MRVE3;MRV;ON      NM;293.978.672;0,167;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,209;
NEOE3;NEOENERGIA;ON      NM;226.098.192;0,134;
NGRD3;NEOGRID;ON      NM;108.100.000;0,022;
ODPV3;ODONTOPREV;ON  EJ  NM;263.448.316;0,115;
OMGE3;OMEGA GER;ON      NM;122.249.557;0,157;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,212;
PETR3;PETROBRAS;ON      N2;3.684.060.179;3,677;
PETR4;PETROBRAS;PN      N2;4.566.457.037;4,536;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,071;
PRIO3;PETRORIO;ON      NM;807.220.415;0,533;
PETZ3;PETZ;ON      NM;261.956.811;0,221;
PSSA3;PORTO SEGURO;ON      NM;93.637.072;0,173;
PTBL3;PORTOBELLO;ON      NM;69.996.578;0,038;
POSI3;POSITIVO TEC;ON      NM;78.616.498;0,034;
QUAL3;QUALICORP;ON      NM;283.467.789;0,274;
LJQQ3;QUERO-QUERO;ON      NM;177.734.774;0,147;
RADL3;RAIADROGASIL;ON  EJ  NM;1.072.645.150;0,921;
RAPT4;RANDON PART;PN      N1;177.421.406;0,082;
RCSL4;RECRUSUL;PN;50.414.424;0,004;
RDOR3;REDE D OR;ON      NM;903.127.590;2,107;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;0,814;
SBSP3;SABESP;ON      NM;339.999.111;0,433;
SAPR4;SANEPAR;PN      N2;203.503.821;0,029;
SAPR11;SANEPAR;UNT     N2;200.991.234;0,142;
SANB11;SANTANDER BR;UNT;355.642.348;0,521;
STBP3;SANTOS BRP;ON      NM;857.995.211;0,270;
SMTO3;SAO MARTINHO;ON      NM;143.032.073;0,181;
SEQL3;SEQUOIA LOG;ON      NM;109.785.229;0,101;
SEER3;SER EDUCA;ON      NM;54.346.207;0,035;
CSNA3;SID NACIONAL;ON;642.398.790;0,940;
SIMH3;SIMPAR;ON      NM;85.662.375;0,161;
SQIA3;SINQIA;ON      NM;58.702.058;0,045;
SLCE3;SLC AGRICOLA;ON      NM;86.086.214;0,142;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,343;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,428;
TAEE11;TAESA;UNT     N2;218.568.274;0,285;
TASA4;TAURUS ARMAS;PN      N2;48.884.169;0,038;
TCSA3;TECNISA;ON      NM;54.501.246;0,017;
TGMA3;TEGMA;ON      NM;32.001.480;0,028;
VIVT3;TELEF BRASIL;ON;444.219.852;0,655;
TEND3;TENDA;ON      NM;96.408.761;0,082;
TIMS3;TIM;ON  EJ  NM;808.485.985;0,327;
