IBRA - Carteira do Dia 22/06/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;129.507.288;0,213;
ABCB4;ABC BRASIL;PN      N2;70.580.422;0,042;
AERI3;AERIS;ON      NM;218.058.827;0,077;
AESB3;AES BRASIL;ON      NM;149.647.285;0,073;
ALSO3;ALIANSCSONAE;ON      NM;127.376.805;0,137;
AALR3;ALLIAR;ON      NM;46.716.473;0,018;
ALPA4;ALPARGATAS;PN      N1;168.770.200;0,282;
ALUP11;ALUPAR;UNT     N2;178.970.157;0,164;
ABEV3;AMBEV S/A;ON;4.358.542.894;2,752;
AMBP3;AMBIPAR;ON      NM;43.733.334;0,057;
ANIM3;ANIMA;ON      NM;288.432.555;0,128;
ARZZ3;AREZZO CO;ON      NM;45.095.471;0,146;
ASAI3;ASSAI;ON      NM;156.928.631;0,457;
AZUL4;AZUL;PN      N2;327.262.616;0,533;
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,479;
B3SA3;B3;ON      NM;6.119.434.194;3,521;
BMGB4;BANCO BMG;PN      N1;99.052.274;0,016;
BIDI4;BANCO INTER;PN      N2;100.239.024;0,079;
BIDI11;BANCO INTER;UNT     N2;453.631.743;1,057;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,275;
BRSR6;BANRISUL;PNB     N1;202.531.540;0,097;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,577;
BKBR3;BK BRASIL;ON      NM;272.245.759;0,111;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,321;
BRPR3;BR PROPERT;ON      NM;198.812.616;0,064;
BBDC3;BRADESCO;ON      N1;1.253.093.907;0,988;
BBDC4;BRADESCO;PN      N1;4.261.649.634;3,975;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,511;
BBAS3;BRASIL;ON  EJ  NM;1.283.197.221;1,496;
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,054;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,491;
BRFS3;BRF SA;ON      NM;811.759.800;0,789;
BPAC11;BTGP BANCO;UNT     N2;260.495.794;1,080;
CAML3;CAMIL;ON      NM;116.264.997;0,038;
CRFB3;CARREFOUR BR;ON  EJ  NM;391.758.726;0,286;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,526;
CEAB3;CEA MODAS;ON      NM;106.394.635;0,055;
CMIG3;CEMIG;ON      N1;266.451.715;0,144;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,476;
CESP6;CESP;PNB     N1;182.017.689;0,151;
HGTX3;CIA HERING;ON      NM;126.186.408;0,151;
CIEL3;CIELO;ON      NM;1.112.196.638;0,145;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,299;
CSMG3;COPASA;ON      NM;188.444.559;0,106;
CPLE3;COPEL;ON      N1;71.640.156;0,015;
CPLE6;COPEL;PNB     N1;570.829.074;0,121;
CSAN3;COSAN;ON      NM;1.169.237.744;0,986;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,182;
CURY3;CURY S/A;ON      NM;104.545.454;0,037;
CVCB3;CVC BRASIL;ON      NM;200.884.562;0,191;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,228;
PNVL3;DIMED;ON      N2;68.859.355;0,047;
DIRR3;DIRECIONAL;ON      NM;81.360.368;0,041;
DTEX3;DURATEX;ON      NM;273.813.447;0,200;
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,076;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,574;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,389;
EMBR3;EMBRAER;ON      NM;736.143.105;0,505;
ENAT3;ENAUTA PART;ON      NM;75.939.767;0,040;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,147;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,403;
ENEV3;ENEVA;ON      NM;1.258.511.620;0,756;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,352;
ENJU3;ENJOEI;ON      NM;167.521.497;0,062;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;0,863;
EVEN3;EVEN;ON  ED  NM;209.535.948;0,076;
EZTC3;EZTEC;ON      NM;95.756.217;0,110;
FESA4;FERBASA;PN      N1;40.145.300;0,055;
FLRY3;FLEURY;ON      NM;303.800.430;0,270;
GFSA3;GAFISA;ON      NM;118.208.091;0,018;
GGBR4;GERDAU;PN      N1;995.903.643;1,003;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,325;
GOLL4;GOL;PN      N2;178.123.292;0,153;
GRND3;GRENDENE;ON      NM;268.371.180;0,088;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,123;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;1,625;
SBFG3;GRUPO SBF;ON      NM;88.709.474;0,116;
SOMA3;GRUPO SOMA;ON      NM;183.851.421;0,104;
GUAR3;GUARARAPES;ON;81.944.760;0,060;
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,658;
HBOR3;HELBOR;ON      NM;65.261.522;0,020;
HBSA3;HIDROVIAS;ON      NM;325.623.566;0,069;
HYPE3;HYPERA;ON      NM;410.147.968;0,505;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,125;
PARD3;IHPARDINI;ON  EJ  NM;43.661.030;0,033;
MEAL3;IMC S/A;ON      NM;264.441.032;0,040;
ROMI3;INDS ROMI;ON  EJ  NM;37.272.660;0,032;
GNDI3;INTERMEDICA;ON      NM;593.438.080;1,694;
MYPK3;IOCHP-MAXION;ON      NM;141.465.625;0,076;
RANI3;IRANI;ON      NM;85.725.289;0,027;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,258;
ITSA4;ITAUSA;PN      N1;4.515.538.171;1,787;
ITUB3;ITAUUNIBANCO;ON      N1;384.789.136;0,371;
ITUB4;ITAUUNIBANCO;PN      N1;4.770.095.054;5,218;
JBSS3;JBS;ON      NM;1.388.025.890;1,318;
JPSA3;JEREISSATI;ON;34.833.911;0,041;
JHSF3;JHSF PART;ON      NM;288.832.602;0,074;
KLBN11;KLABIN S/A;UNT     N2;922.294.338;0,813;
LAVV3;LAVVI;ON      NM;93.139.429;0,027;
LIGT3;LIGHT S/A;ON      NM;372.555.324;0,198;
LINX3;LINX;ON  ED  NM;147.968.946;0,187;
RENT3;LOCALIZA;ON      NM;593.841.434;1,265;
LCAM3;LOCAMERICA;ON      NM;323.763.077;0,300;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,402;
LOGG3;LOG COM PROP;ON      NM;59.190.591;0,065;
LOGN3;LOG-IN;ON      NM;100.109.944;0,063;
LAME3;LOJAS AMERIC;ON      N1;249.502.964;0,183;
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,631;
AMAR3;LOJAS MARISA;ON      NM;111.476.495;0,037;
LREN3;LOJAS RENNER;ON      NM;887.417.914;1,384;
LPSB3;LOPES BRASIL;ON      NM;114.874.308;0,017;
MDIA3;M.DIASBRANCO;ON  EJ  NM;83.669.782;0,086;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;1,913;
POMO4;MARCOPOLO;PN      N2;573.419.889;0,064;
MRFG3;MARFRIG;ON      NM;368.864.634;0,233;
CASH3;MELIUZ;ON      NM;74.543.311;0,114;
LEVE3;METAL LEVE;ON      NM;38.492.519;0,041;
MILS3;MILLS;ON      NM;115.486.678;0,033;
BEEF3;MINERVA;ON      NM;240.482.896;0,079;
MTRE3;MITRE REALTY;ON      NM;54.039.454;0,022;
MOVI3;MOVIDA;ON      NM;132.113.940;0,086;
MRVE3;MRV;ON      NM;293.978.672;0,167;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,215;
NEOE3;NEOENERGIA;ON      NM;226.098.192;0,136;
NGRD3;NEOGRID;ON      NM;108.100.000;0,022;
ODPV3;ODONTOPREV;ON  EJ  NM;263.448.316;0,115;
OMGE3;OMEGA GER;ON      NM;122.249.557;0,159;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,214;
PETR3;PETROBRAS;ON      N2;3.684.060.179;3,643;
PETR4;PETROBRAS;PN      N2;4.566.457.037;4,456;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,083;
PRIO3;PETRORIO;ON      NM;807.220.415;0,528;
PETZ3;PETZ;ON      NM;261.956.811;0,216;
PSSA3;PORTO SEGURO;ON      NM;93.637.072;0,174;
PTBL3;PORTOBELLO;ON      NM;69.996.578;0,039;
POSI3;POSITIVO TEC;ON      NM;78.616.498;0,035;
QUAL3;QUALICORP;ON      NM;283.467.789;0,271;
LJQQ3;QUERO-QUERO;ON      NM;177.734.774;0,149;
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;0,931;
RAPT4;RANDON PART;PN      N1;177.421.406;0,084;
RCSL4;RECRUSUL;PN;50.414.424;0,003;
RDOR3;REDE D OR;ON      NM;903.127.590;2,036;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;0,824;
SBSP3;SABESP;ON      NM;339.999.111;0,438;
SAPR4;SANEPAR;PN      N2;203.503.821;0,029;
SAPR11;SANEPAR;UNT     N2;200.991.234;0,142;
SANB11;SANTANDER BR;UNT;355.642.348;0,523;
STBP3;SANTOS BRP;ON      NM;857.995.211;0,269;
SMTO3;SAO MARTINHO;ON      NM;143.032.073;0,182;
SEQL3;SEQUOIA LOG;ON      NM;109.785.229;0,099;
SEER3;SER EDUCA;ON      NM;54.346.207;0,035;
CSNA3;SID NACIONAL;ON;642.398.790;0,910;
SIMH3;SIMPAR;ON      NM;85.662.375;0,163;
SQIA3;SINQIA;ON      NM;58.702.058;0,044;
SLCE3;SLC AGRICOLA;ON      NM;86.086.214;0,142;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,346;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,429;
TAEE11;TAESA;UNT     N2;218.568.274;0,291;
TASA4;TAURUS ARMAS;PN      N2;48.884.169;0,037;
TCSA3;TECNISA;ON      NM;54.501.246;0,016;
TGMA3;TEGMA;ON      NM;32.001.480;0,026;
VIVT3;TELEF BRASIL;ON;444.219.852;0,676;
TEND3;TENDA;ON      NM;96.408.761;0,084;
TIMS3;TIM;ON  EJ  NM;808.485.985;0,342;
TOTS3;TOTVS;ON      NM;480.228.410;0,595;
TRPL4;TRAN PAULIST;PN      N1;395.797.044;0,357;
TRIS3;TRISUL;ON      NM;78.643.944;0,027;
TUPY3;TUPY;ON      NM;66.821.197;0,053;
UGPA3;ULTRAPAR;ON      NM;1.085.987.426;0,722;
UNIP6;UNIPAR;PNB;44.332.601;0,141;
USIM5;USIMINAS;PNA     N1;513.796.208;0,315;
VALE3;VALE;ON      NM;4.997.125.690;18,547;
VLID3;VALID;ON      NM;78.582.401;0,026;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;0,847;
VIVA3;VIVARA S.A.;ON      NM;93.368.726;0,107;
VULC3;VULCABRAS;ON      NM;74.685.291;0,024;
WEGE3;WEG;ON      NM;1.482.296.002;1,761;
WIZS3;WIZ S.A.;ON      NM;77.719.799;0,035;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,353;
Quantidade Teórica Total;;;101.889.008.898;100,000
Redutor;;;568.578.828,97373784
