IBRA - Carteira do Dia 01/07/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;129.507.288;0,201;
ABCB4;ABC BRASIL;PN  EJ  N2;70.580.422;0,038;
AERI3;AERIS;ON      NM;218.058.827;0,074;
AESB3;AES BRASIL;ON      NM;149.647.285;0,071;
ALSO3;ALIANSCSONAE;ON      NM;127.376.805;0,127;
AALR3;ALLIAR;ON      NM;46.716.473;0,019;
ALPA4;ALPARGATAS;PN      N1;168.770.200;0,290;
ALUP11;ALUPAR;UNT     N2;178.970.157;0,162;
ABEV3;AMBEV S/A;ON;4.358.542.894;2,549;
AMBP3;AMBIPAR;ON      NM;43.733.334;0,068;
ANIM3;ANIMA;ON      NM;288.432.555;0,136;
ARZZ3;AREZZO CO;ON      NM;45.095.471;0,146;
ASAI3;ASSAI;ON      NM;156.928.631;0,465;
AZUL4;AZUL;PN      N2;327.262.616;0,492;
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,458;
B3SA3;B3;ON  EDJ NM;6.119.434.194;3,527;
BMGB4;BANCO BMG;PN      N1;99.052.274;0,016;
BIDI4;BANCO INTER;PN      N2;100.239.024;0,090;
BIDI11;BANCO INTER;UNT     N2;453.631.743;1,209;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,281;
BRSR6;BANRISUL;PNB     N1;202.531.540;0,092;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,531;
BKBR3;BK BRASIL;ON      NM;272.245.759;0,111;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,294;
BRPR3;BR PROPERT;ON      NM;198.812.616;0,062;
BBDC3;BRADESCO;ON      N1;1.253.093.907;0,938;
BBDC4;BRADESCO;PN      N1;4.261.649.634;3,757;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,567;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,412;
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,053;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,540;
BRFS3;BRF SA;ON      NM;811.759.800;0,760;
BPAC11;BTGP BANCO;UNT EB  N2;1.041.983.176;1,090;
CAML3;CAMIL;ON      NM;116.264.997;0,038;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,282;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,514;
CEAB3;CEA MODAS;ON      NM;106.394.635;0,052;
CMIG3;CEMIG;ON      N1;266.451.715;0,133;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,449;
CESP6;CESP;PNB     N1;182.017.689;0,149;
HGTX3;CIA HERING;ON      NM;126.186.408;0,148;
CIEL3;CIELO;ON      NM;1.112.196.638;0,139;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,274;
CSMG3;COPASA;ON  EJ  NM;188.444.559;0,100;
CPLE3;COPEL;ON      N1;71.640.156;0,014;
CPLE6;COPEL;PNB     N1;570.829.074;0,116;
CSAN3;COSAN;ON      NM;1.169.237.744;0,960;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,173;
CURY3;CURY S/A;ON      NM;104.545.454;0,037;
CVCB3;CVC BRASIL;ON  ES  NM;225.955.651;0,215;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,225;
PNVL3;DIMED;ON      N2;68.859.355;0,050;
DIRR3;DIRECIONAL;ON      NM;81.360.368;0,039;
DTEX3;DURATEX;ON      NM;273.813.447;0,223;
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,070;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,529;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,360;
EMBR3;EMBRAER;ON      NM;736.143.105;0,476;
ENAT3;ENAUTA PART;ON      NM;75.939.767;0,047;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,140;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,400;
ENEV3;ENEVA;ON      NM;1.258.511.620;0,732;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,342;
ENJU3;ENJOEI;ON      NM;167.521.497;0,059;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;0,858;
EVEN3;EVEN;ON      NM;209.535.948;0,075;
EZTC3;EZTEC;ON      NM;95.756.217;0,103;
FESA4;FERBASA;PN      N1;40.145.300;0,061;
FLRY3;FLEURY;ON      NM;303.800.430;0,270;
GFSA3;GAFISA;ON      NM;118.208.091;0,018;
GGBR4;GERDAU;PN      N1;995.903.643;1,010;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,329;
GOLL4;GOL;PN      N2;178.123.292;0,140;
GRND3;GRENDENE;ON      NM;268.371.180;0,092;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,126;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;1,636;
SBFG3;GRUPO SBF;ON      NM;88.709.474;0,116;
SOMA3;GRUPO SOMA;ON      NM;183.851.421;0,100;
GUAR3;GUARARAPES;ON  EJ;81.944.760;0,058;
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,668;
HBOR3;HELBOR;ON      NM;65.261.522;0,019;
HBSA3;HIDROVIAS;ON      NM;325.623.566;0,072;
HYPE3;HYPERA;ON      NM;410.147.968;0,484;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,119;
PARD3;IHPARDINI;ON      NM;43.661.030;0,031;
MEAL3;IMC S/A;ON      NM;264.441.032;0,037;
ROMI3;INDS ROMI;ON      NM;37.272.660;0,031;
GNDI3;INTERMEDICA;ON      NM;593.438.080;1,727;
MYPK3;IOCHP-MAXION;ON      NM;141.465.625;0,078;
RANI3;IRANI;ON      NM;85.725.289;0,027;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,248;
ITSA4;ITAUSA;PN      N1;4.515.538.171;1,725;
ITUB3;ITAUUNIBANCO;ON  ED  N1;384.789.136;0,352;
ITUB4;ITAUUNIBANCO;PN  ED  N1;4.770.095.054;4,867;
JBSS3;JBS;ON      NM;1.388.025.890;1,384;
JPSA3;JEREISSATI;ON;34.833.911;0,040;
JHSF3;JHSF PART;ON      NM;288.832.602;0,072;
KLBN11;KLABIN S/A;UNT     N2;922.294.338;0,833;
LAVV3;LAVVI;ON      NM;93.139.429;0,026;
LIGT3;LIGHT S/A;ON  EBG NM;372.555.324;0,195;
RENT3;LOCALIZA;ON  EJ  NM;593.841.434;1,302;
LCAM3;LOCAMERICA;ON  EJ  NM;323.763.077;0,304;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,396;
LOGG3;LOG COM PROP;ON      NM;59.190.591;0,065;
LOGN3;LOG-IN;ON      NM;100.109.944;0,065;
LAME3;LOJAS AMERIC;ON      N1;249.502.964;0,177;
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,626;
AMAR3;LOJAS MARISA;ON      NM;111.476.495;0,035;
LREN3;LOJAS RENNER;ON  EJ  NM;887.417.914;1,345;
LPSB3;LOPES BRASIL;ON      NM;114.874.308;0,019;
MDIA3;M.DIASBRANCO;ON      NM;83.669.782;0,093;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;1,934;
POMO4;MARCOPOLO;PN      N2;573.419.889;0,067;
MRFG3;MARFRIG;ON      NM;368.864.634;0,242;
CASH3;MELIUZ;ON      NM;74.543.311;0,126;
LEVE3;METAL LEVE;ON      NM;38.492.519;0,044;
