IBRA - Carteira do Dia 01/07/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
MILS3;MILLS;ON      NM;115.486.678;0,034;
BEEF3;MINERVA;ON      NM;240.482.896;0,077;
MTRE3;MITRE REALTY;ON      NM;54.039.454;0,022;
MOVI3;MOVIDA;ON  EJ  NM;132.113.940;0,089;
MRVE3;MRV;ON      NM;293.978.672;0,164;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,198;
NEOE3;NEOENERGIA;ON      NM;226.098.192;0,135;
NGRD3;NEOGRID;ON      NM;108.100.000;0,021;
ODPV3;ODONTOPREV;ON      NM;263.448.316;0,118;
OMGE3;OMEGA GER;ON      NM;122.249.557;0,159;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,208;
PETR3;PETROBRAS;ON      N2;3.684.060.179;3,823;
PETR4;PETROBRAS;PN      N2;4.566.457.037;4,604;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,065;
PRIO3;PETRORIO;ON      NM;807.220.415;0,539;
PETZ3;PETZ;ON  EJ  NM;261.956.811;0,231;
PSSA3;PORTO SEGURO;ON      NM;93.637.072;0,172;
PTBL3;PORTOBELLO;ON      NM;69.996.578;0,042;
POSI3;POSITIVO TEC;ON      NM;78.616.498;0,033;
QUAL3;QUALICORP;ON      NM;283.467.789;0,281;
LJQQ3;QUERO-QUERO;ON      NM;177.734.774;0,139;
RADL3;RAIADROGASIL;ON  EJ  NM;1.072.645.150;0,908;
RAPT4;RANDON PART;PN      N1;177.421.406;0,082;
RCSL4;RECRUSUL;PN;50.414.424;0,004;
RDOR3;REDE D OR;ON  EJ  NM;903.127.590;2,136;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;0,799;
SBSP3;SABESP;ON      NM;339.999.111;0,426;
SAPR4;SANEPAR;PN  EJ  N2;203.503.821;0,029;
SAPR11;SANEPAR;UNT EJ  N2;200.991.234;0,140;
SANB11;SANTANDER BR;UNT;355.642.348;0,493;
STBP3;SANTOS BRP;ON      NM;857.995.211;0,265;
SMTO3;SAO MARTINHO;ON      NM;143.032.073;0,177;
SEQL3;SEQUOIA LOG;ON      NM;109.785.229;0,106;
SEER3;SER EDUCA;ON      NM;54.346.207;0,035;
CSNA3;SID NACIONAL;ON;642.398.790;0,968;
SIMH3;SIMPAR;ON      NM;85.662.375;0,163;
SQIA3;SINQIA;ON      NM;58.702.058;0,050;
SLCE3;SLC AGRICOLA;ON      NM;86.086.214;0,151;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,339;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,485;
TAEE11;TAESA;UNT     N2;218.568.274;0,277;
TASA4;TAURUS ARMAS;PN      N2;48.884.169;0,040;
TCSA3;TECNISA;ON      NM;54.501.246;0,016;
TGMA3;TEGMA;ON      NM;32.001.480;0,027;
VIVT3;TELEF BRASIL;ON  EJ;444.219.852;0,634;
TEND3;TENDA;ON      NM;96.408.761;0,083;
TIMS3;TIM;ON  EJ  NM;808.485.985;0,319;
TOTS3;TOTVS;ON      NM;480.228.410;0,619;
TRPL4;TRAN PAULIST;PN      N1;395.797.044;0,340;
TRIS3;TRISUL;ON      NM;78.643.944;0,026;
TUPY3;TUPY;ON      NM;66.821.197;0,054;
UGPA3;ULTRAPAR;ON  ES  NM;1.085.987.426;0,684;
UNIP6;UNIPAR;PNB;44.332.601;0,150;
USIM5;USIMINAS;PNA     N1;513.796.208;0,336;
VALE3;VALE;ON  ED  NM;4.997.125.690;19,388;
VLID3;VALID;ON      NM;78.582.401;0,030;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;0,863;
VIVA3;VIVARA S.A.;ON      NM;93.368.726;0,105;
VULC3;VULCABRAS;ON      NM;74.685.291;0,025;
WEGE3;WEG;ON  EJ  NM;1.482.296.002;1,711;
WIZS3;WIZ S.A.;ON      NM;77.719.799;0,047;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,338;
Quantidade Teórica Total;;;102.547.598.423;100,000
Redutor;;;565.131.573,48994190
